id,context,question,answers,label
train_0,"In rheumatoid arthritis, the body' s immune system misfunctions by attacking healthy cells in the joints causing the release of a hormone that in turn causes pain and swelling. This hormone is normally activated only in reaction to injury or infection. A new arthritis medication will contain a protein that inhibits the functioning of the hormone that causes pain and swelling in the joints.","The statements above, if true, most strongly support which one of the following conclusions?","['Unlike aspirin and other medications that reduce pain and swelling and that are currently available, the new medication would repair existing cell damage that had been caused by rheumatoid arthritis.', 'A patient treated with the new medication for rheumatoid arthritis could sustain a joint injury without becoming aware of it.', 'Joint diseases other than rheumatoid arthritis would not be affected by the new medication.', ""The benefits to rheumatoid arthritis sufferers of the new medication would outweigh the medication's possible harmful side effects.""]",1
train_1,"Patient: Pharmacists maintain that doctors should not be permitted to sell the medicine that they prescribe because doctors would then be tempted to prescribe unnecessary medicines in order to earn extra income. But pharmacists have a financial interest in having a monopoly on the sale of prescription medicines, so their objection to the sale of medicines by doctors cannot be taken seriously.",The patient's argument proceeds by,"['attempting to discredit a position by questioning the motives of the proponents of that position', 'rejecting a questionable position on the grounds that the general public does not support that position', ""pointing out an unstated assumption on which the pharmacists' argument relies and then refuting it"", 'asserting that pharmacists lack the appropriate knowledge to have informed opinions on the subject under discussion']",0
train_2,"Paula will visit the dentist tomorrow morning only if Bill goes golfing in the morning. Bill will not go golfing unless Damien agrees to go golfing too. However, Damien has decided not to go golfing. Ttherefore, Paula will not be visiting the dentist tomorrow morning.",The pattern of reasoning displayed above most closely parallels which of the following?,"['If Marge goes to the bank today, Lauren will not cash her check tomorrow. Marge will not wash her car unless it is sunny. However, it is sunny, so Marge will wash her car and go shopping with Lauren.', 'Kevin will wash his car tomorrow only if Brittany has to go visit her grandmother. Unless Aunt Susan has to run errands, Brittany will not have to go visit her grandmother. Since Aunt Susan does not have to run errands, Kevin will not wash his car tomorrow.', 'Renee will do her homework tonight if there is nothing good on television and if her neighbors do not have a party. Although, there is something good on television; her neighbors are also having a party. Ttherefore, Renee will attend the party.', 'Maddie will plan a picnic only if one of her friends, Lisa or Kenny, will come. Kenny will not come to the picnic, but Lisa will. Ttherefore, Maddie will plan a picnic.']",1
train_3,"Some theorists argue that literary critics should strive to be value-neutral in their literary criticism. These theorists maintain that by exposing the meaning of literary works without evaluating them, critics will enable readers to make their own judgments about the works' merits. But literary criticism cannot be completely value-neutral. Thus, some theorists are mistaken about what is an appropriate goal for literary criticism.",The argument's conclusion follows logically if which one of the following is assumed?,"[""Any critic who is able to help readers make their own judgments about literary works' merits should strive to produce value-neutral criticism."", 'If it is impossible to produce completely value- neutral literary criticism, then critics should not even try to be value-neutral.', ""The less readers understand the meaning of a literary work, the less capable they will be of evaluating that work's merits."", 'Critics are more likely to provide criticisms of the works they like than to provide criticisms of the works they dislike.']",1
train_4,"Shipping Clerk: The five specially ordered shipments sent out last week were sent out on Thursday. Last week, all of the shipments that were sent out on Friday consisted entirely of building supplies, and the shipping department then closed for the weekend. Four shipments were sent to Truax Construction last week, only three of which consisted of building supplies.","If the shipping clerk's statements are true, which of the following must also be true?","['At least one of the shipments sent to Truax Construction last week was sent out before Friday.', ""At least one of last week's specially ordered shipments did not consist of building supplies."", 'At least one of the shipments sent to Truax Construction last week was specially ordered.', 'At least one of the shipments sent to Truax Construction was not sent out on Thursday of last week.']",0
train_5,"Firms adopting ""profit-related-pay"" (PRP) contracts pay wages at levels that vary with the firm' s profits. In the metalworking industry last year, firms with PRP contracts in place showed productivity per worker on average 13 percent higher than that of their competitors who used more traditional contracts.","If, on the basis of the evidence above, it is argued that PRP contracts increase worker productivity, which of the following, if true, would most seriously weaken that argument?","['Many firms in the metalworking industry have modernized production equipment in the last five years, and most of these introduced PRP contracts at the same time.', 'Under PRP contracts costs other than labor costs, such as plant, machinery, and energy, make up an increased proportion of the total cost of each unit of output.', ""Because introducing PRP contracts greatly changes individual workers' relationships to the firm, negotiating the introduction of PRP contracts in complex and time consuming."", 'In firms in the metalworking industry where PRP contracts are in place, the average take-home pay is 15 percent higher than it is in those firms where workers have more traditional contracts.']",0
train_6,"Astronomer: Mount Shalko is the perfect site for the proposed astronomical observatory. The summit would accommodate the complex as currently designed, with some room left for expansion. There are no large cities near the mountain, so neither smog nor artificial light interferes with atmospheric transparency. Critics claim that Mount Shalko is a unique ecological site, but the observatory need not be a threat to endemic life-forms. In fact, since it would preclude recreational use of the mountain, it should be their salvation. It is estimated that 20, 000 recreational users visit the mountain every year, posing a threat to the wildlife.","Which one of the following, if true, most weakens the astronomer's argument?","['More than a dozen insect and plant species endemic to Mount Shalko are found nowhere else on earth.', 'The building of the observatory would not cause the small towns near Mount Shalko eventually to develop into a large city, complete with smog, bright lights, and an influx of recreation seekers.', 'A survey conducted by a team of park rangers concluded that two other mountains in the same general area have more potential for recreational use than Mount Shalko.', 'Having a complex that covers most of the summit, as well as having the necessary security fences and access road on the mountain, could involve just as much ecological disruption as does the current level of recreational use.']",3
train_7,"Opponents of peat harvesting in this country argue that it would alter the ecological balance of our peatrich wetlands and that, as a direct consequence of this, much of the country' s water supply would be threatened with contamination. But this cannot be true, for in Ireland, where peat has been harvested for centuries, the water supply is not contaminated. We can safely proceed with the harvesting of peat.","Which one of the following, if true, most strengthens the argument?","[""The peat-harvesting industry of Ireland has been able to supply most of that country's fuel for generations."", 'The original ecology of the peat-harvesting areas of Ireland was virtually identical to that of the undisturbed wetlands of this country.', 'Over hundreds of years, the ecological balance of all areas changes slowly but significantly, sometimes to the advantage of certain flora and fauna.', 'The activities of other industries in coming years are likely to have adverse effects on the water supply of this country.']",1
train_8,"Shortly after the power plant opened and began discharging its wastewater into the river, there was a decrease in the overall number of bass caught by anglers downstream from the plant.","Each of the following, if true, could explain the decrease described above EXCEPT:","['The discharged water was warmer than the normal river temperature, leading the bass to seek cooler water elsewhere.', 'Because of the new plant, access to the part of the river downstream from the plant was improved, leading to an increase in the number of anglers fishing for bass.', 'Because of the new plant, the level of noise downstream increased, making that section of the river a less popular place for anglers to fish.', 'The discharged wastewater made the river more attractive to fish that are the natural predators of bass.']",1
train_9,Any sale item that is purchased can be returned for store credit but not for a refund of the purchase price. Every home appliance and every piece of gardening equipment is on sale along with selected construction tools.,"If the statements above are true, which one of the following must also be true?","['Any item that is not on sale cannot be returned for store credit.', 'Some construction tools are not returnable for store credit.', 'No piece of gardening equipment is returnable for a refund.', 'None of the things that are returnable for a refund are construction tools.']",2
train_10,"Detective: Laser-printer drums are easily damaged, and any nick in a drum will produce a blemish of similar dimensions on each page produced by that printer. So in matching a blemish on a page with a nick on a drum, we can reliably trace a suspicious laser-printed document to the precise printer on which it was produced.","Which one of the following, if true, most weakens the detective's argument?","['Most suspicious documents are not produced on laser printers.', 'Criminals are unlikely to use their own laser printers to produce suspicious documents.', 'Drum nicks are usually so small that it requires skill to accurately determine their size and shape.', 'The manufacturing process often produces the same nick on several drums.']",3
train_11,"Biologist: A careful study of the behavior of six individual chameleons concluded that lizards such as chameleons bask in the sun not only for warmth but also to regulate their production of vitamin D. Critics of the study -- although correct in observing that its sample size was very small -- are wrong to doubt its results. After all, the study' s author is well regarded professionally and has been doing excellent work for years.",The reasoning in the biologist's argument is most vulnerable to criticism on the grounds that the argument,"[""focuses its attention on the study's author rather than on the study itself"", 'takes the behavior of chameleons to be generalizable to lizards as a whole', ""fails to demonstrate that the study's critics have relevant expertise"", ""holds the study's author to a higher standard than it holds the study's critics""]",0
train_12,"The use of space-based satellites to study environmental conditions on Earth is an important development in the conservation movement' s history. Environmental problems may now be observed long before they otherwise would be noticed, allowing for intervention before they reach the crisis stage. It is no wonder that environmentalists fail to consider both that spacecraft may damage the ozone layer and that this damage could be serious enough to warrant discontinuing spaceflight.",The reasoning above most closely conforms to which one of the following principles?,"['People tend to ignore possible objectionable consequences of actions that support their activities.', 'Attempts to employ technology often have unforeseen consequences that may be negative.', 'Technology usually has at least some negative impact on the environment, even if it is largely beneficial.', 'A negative consequence of an activity may be outweighed by its great positive consequences.']",0
train_13,"Department store manager: There is absolutely no reason to offer our customers free gift wrapping again this holiday season. If most customers take the offer, it will be expensive and time-consuming for us. On the other hand, if only a few customers want it, there is no advantage in offering it.",Which one of the following is an assumption required by the department store manager's argument?,"['It would be expensive to inform customers about the free gift wrapping service.', 'Gift wrapping would cost the store more during this holiday season than in previous holiday seasons.', 'Either few customers would want free gift wrapping or most customers would want it.', 'Anything that slows down shoppers during the holiday season costs the store money.']",2
train_14,"A study conducted over a 6-month period analyzed daily attendance and average length of visit at the local art museum. The results showed that when the museum was not featuring a special exhibition, attendance tended to be lower but patrons spent an average of 45 minutes longer in the museum than when it was featuring a special exhibition.","Each of the following, if true, could help to explain the differing average lengths of visits to the museum EXCEPT:","['Visitors to the museum during special exhibitions tend to have narrower artistic interests, and do not view as many different exhibits during their visit.', 'A plan to extend normal museum hours during special exhibitions was considered but not enacted during the period studied.', 'Admission tickets to the special exhibitions at the museum are issued for a specific 1-hour period on a specific day.', 'Many people who go to special exhibitions are on organized tours and do not have the opportunity to browse.']",1
train_15,"Traveler: Southern Airways has a far worse safety record than Air Dacentaria over the past few years, in terms of both the frequency of accidents and the severity of accidents. Ttherefore, although Air Dacentaria is slightly more expensive, I will choose it over Southern Airways for my flight from Pederton to Dacenta, since it is worth paying extra to have a safer flight.","Which of the following, if true, casts the most serious doubt on the traveler's argument?","['Although the frequency of accidents is greater on Southern Airways, on both airlines the proportion of flights that have accidents is very small.', ""Most Southern Airways flights, but not its flight from Pederton to Dacenta, use Sarmouth airport, which because of its mountainous location is one of the world's most dangerous."", 'Only in the last few years has the cost of flying from Pederton to Dacenta been more expensive on Air Dacentaria than on Southern Airways.', ""Air Dacentaria's flight from Pederton to Dacenta is nonstop, whereas Southern Airways' flight touches down in Gorinda on the way.""]",1
train_16,"In a study, pairs of trained dogs were placed side by side and given a command such as ""sit. "" After both obeyed the command, one dog was given a treat while its partner was given no reward at all. Over time, the dogs who went unrewarded began to disobey the command. This shows that dogs have an aversion to being treated unfairly.",Which one of the following would be most useful to know in order to evaluate the argument?,"['Were dogs who were accustomed to receiving regular rewards prior to the study more inclined to obey the command?', 'How many repetitions were required before the unrewarded dogs began to disobey the command?', 'Is there a decline in obedience if rewards are withheld from both dogs in the pair?', 'Were dogs who received treats in one trial ever used as dogs that did not receive treats in other trials?']",2
train_17,"The advanced technology of ski boots and bindings has brought a dramatic drop in the incidence of injuries that occur on the slopes of ski resorts: from 9 injuries per 1, 000 skiers in 1950 to 3 in 1980. As a result, the remainder of ski-related injuries, which includes all injuries occurring on the premises of a ski resort but not on the slopes, rose from 10 percent of all ski-related injuries in 1950 to 25 percent in 1980. The incidence of these injuries, including accidents such as falling down steps, increases with the amount of alcohol consumed per skier.",Which one of the following can be properly inferred from the passage?,"['Injuries that occurred on the slopes of ski resorts made up a smaller percentage of ski-related injuries in 1980 than in 1950.', 'As the number of ski injuries that occur on the slopes decreases, the number of injuries that occur on the premises of ski resorts increases.', 'If the technology of ski boots and bindings continues to advance, the incidence of ski-related injuries will continue to decline.', 'The technology of ski boots and bindings affects the incidence of each type of ski-related injury.']",0
train_18,"Environmentalist: An increased number of oil spills and the consequent damage to the environment indicate the need for stricter safety standards for the oil industry. Since the industry refuses to take action, it is the national government that must regulate industry safety standards. In particular, the government has to at least require oil companies to put double hulls on their tankers and to assume financial responsibility for accidents. Industry representative: The industry alone should be responsible for devising safety standards because of its expertise in handling oil and its understanding of the cost entailed. Implementing the double-hull proposal is not currently feasible because it creates new safety issues. Furthermore, the cost would be burdensome to the industry and consumers.",Which one of the following is an assumption on which the argument of the environmentalist depends?,"['Government safety regulations are developed in a process of negotiation with industry leaders and independent experts.', 'Environmental concerns outweigh all financial considerations when developing safety standards.', 'The requirement of two hulls on oil tankers, although initially costly, will save money over time by reducing cleanup costs.', 'The only effective sources of increased stringency in safety standards for oil tankers are action by the industry itself or national government regulation.']",3
train_19,"Fossilized teeth of an extinct species of herbivorous great ape have on them phytoliths, which are microscopic petrified remains of plants. Since only phytoliths from certain species of plants are found on the teeth, the apes' diet must have consisted only of those plants.",The argument assumes which one of the following?,"['Plants of every type eaten by the apes left phytoliths on their teeth.', 'Phytoliths have also been found on the fossilized teeth of apes of other extinct species.', ""None of the plant species that left phytoliths on the apes' teeth has since become extinct."", 'Each of the teeth examined had phytoliths of the same plant species on it as all the other teeth.']",0
train_20,"Life on Earth depends on water. Unfortunately, water is the world' s most threatened natural resource as a result of unrelenting pollution. In the near future, wars will be fought over clean drinking water, as climate change reduces the amount of potable water and pollution taints the drinking water. However, this trend can be broken. Citizens around the globe can aggressively lobby their governments to invest in sustainable energy sources, cleanup polluted waterways, and implement regulations to prevent commercial dumping. Citizens can also have a lasting impact by recycling and taking other steps to reduce their household' s biological footprint. As long as citizens actively respond, then the crisis can be mitigated.",What is the argument's primary purpose?,"['To criticize the status quo in government.', 'To spur activism amongst citizens.', 'To inform citizens about the consequences of continued pollution.', 'To promote the benefits of recycling.']",1
train_21,"Tony: Few anarchists have ever performed violent actions. These few are vastly outnumbered by the violent adherents of other political ideologies. Ttherefore, the special association in the public mind between anarchism and political violence is unwarranted. Keisha: Anarchists have always been few in number, whereas other ideologies have often spawned mass movements. Ttherefore, the proportion of anarchists who are violent is possibly greater than the proportion of adherents of other ideologies who are violent.",Keisha responds to Tony's argument in which one of the following ways?,"[""She attempts to undermine Tony's conclusion by introducing plausible evidence that is incompatible with the evidence Tony offers in support of that conclusion."", 'She presents evidence that the two groups Tony has compared have no significant qualities in common.', ""She shows that Tony's conclusion is questionable because Tony bases it on a comparison that inappropriately involves absolute numbers rather than proportions."", 'She questions the accuracy of the claims on which Tony bases his conclusion.']",2
train_22,"Journalist: <b> Every election year at this time the state government releases the financial disclosures that potential candidates must make in order to be eligible to run for office. </b> Among those making the required financial disclosure this year is a prominent local businessman, Arnold Bergeron. There has often been talk in the past of Mr. Bergeron' s running for governor, not least from Mr. Bergeron himself. <b> This year it is likely he finally will </b>, since those who have discounted the possibility of a Bergeron candidacy have always pointed to the necessity of making financial disclosure as the main obstacle to such a candidacy.","In the journalist's argument, the two boldfaced portions play which of the following roles?","['Each provides evidence in support of an intermediate conclusion that supports a further conclusion stated in the argument.', 'The first provides information without which the argument lacks force; the second states an intermediate conclusion that is used to support a further conclusion.', 'The first provides information without which the argument lacks force; the second states the main conclusion of the argument.', 'The first states evidence bearing against the main conclusion of the argument; the second states that conclusion.']",2
train_23,"Leona: If the average consumption of eggs in the United States were cut in half, an estimated 5, 000 lives might be saved each year. Thomas: How can that be? That would mean that if people adopt this single change in diet for ten years, the population ten years from now will be greater by 50, 000 people than it otherwise would have been.",Which one of the following is a statement that Leona could offer Thomas to clarify her own claim and to address the point he has made?,"['It is accurate to say that 5, 000 lives have been saved as long as 5, 000 people who would have died in a given year as a result of not changing their diet, did not do so -- even if they died for some other reason.', 'If egg consumption were reduced by more than half, the estimated number of lives saved each year could be even more than 5, 000.', 'For the average consumption of eggs to be cut by half, many individual consumers would have to cut their own consumption by much more than half.', 'The actual rate of population growth depends not only on the birth rate, but also on changes in life expectancy.']",0
train_24,"The conventional process for tanning leather uses large amounts of calcium oxide and sodium sulfide. Tanning leather using biological catalysts costs about the same as using these conventional chemicals if the cost of waste disposal is left out of the comparison. However, nearly 20 percent less waste is produced with biological catalysts, and waste disposal is a substantial part of the overall cost of tanning. It is ttherefore less costly to tan leather if biological catalysts are used instead.",Which one of the following is an assumption required by the argument?,"['Leather tanned using the conventional process is not lower in quality than is leather tanned using biological catalysts.', 'Disposal of tanning waste produced with biological catalysts does not cost significantly more than disposal of the same amount of waste produced with the conventional process.', 'The biological catalysts that can be used in the tanning process are less costly by weight than are calcium oxide and sodium sulfide.', 'The labor costs associated with tanning leather using biological catalysts are not any greater than the labor costs associated with the conventional tanning process.']",1
